年份,属性值,土地类型,栅格数量,占地面积(km2),百分比(%)
poyang_2020,11,草本植被覆盖,2097,1.653988481,0.00%
poyang_2020,20,灌溉耕地,21421593,16896.07443,22.04%
poyang_2020,51,开阔常绿阔叶林,26230,20.68865897,0.03%
poyang_2020,52,闭阔常绿阔叶林,47261151,37276.77604,48.63%
poyang_2020,61,开阔落叶阔叶林（0.15<fc<0.4）,899,0.709077561,0.00%
poyang_2020,62,闭阔落叶阔叶林（fc>0.4）,1335016,1052.980966,1.37%
poyang_2020,71,开阔常绿针叶林（0.15<fc<0.4）,90,0.07098663,0.00%
poyang_2020,72,闭阔常绿针叶林（fc>0.4）,6618596,5220.353622,6.81%
poyang_2020,91,开阔混交叶片林（阔叶树和针叶树）,1,0.00078874,0.00%
poyang_2020,120,灌木林,9036,7.127057661,0.01%
poyang_2020,121,常绿灌木林,435032,343.1272851,0.45%
poyang_2020,130,草地,22700,17.90440559,0.02%
poyang_2020,150,稀疏植被（fc<0.15）,148,0.116733569,0.00%
poyang_2020,181,沼泽,113625,89.62062049,0.12%
poyang_2020,182,沼泽地,2605538,2055.092913,2.68%
poyang_2020,183,水淹平地,1162837,917.1764442,1.20%
poyang_2020,190,不透水表面,4997284,3941.559453,5.14%
poyang_2020,200,裸地,521,0.410933714,0.00%
poyang_2020,210,水面,3702556,2920.355257,3.81%
poyang_2021,0,0,121550339,0,0.00%
poyang_2021,10,雨养耕地,7392985,5831.145461,7.61%
poyang_2021,11,草本植被覆盖,1476,1.164180734,0.00%
poyang_2021,20,灌溉耕地,21512944,16968.12664,22.14%
poyang_2021,51,开阔常绿阔叶林,23348,18.41550933,0.02%
poyang_2021,52,闭阔常绿阔叶林,47053266,37112.80876,48.42%
poyang_2021,61,开阔落叶阔叶林（0.15<fc<0.4）,926,0.73037355,0.00%
poyang_2021,62,闭阔落叶阔叶林（fc>0.4）,1324656,1044.809616,1.36%
poyang_2021,71,开阔常绿针叶林（0.15<fc<0.4）,95,0.074930332,0.00%
poyang_2021,72,闭阔常绿针叶林（fc>0.4）,6772484,5341.731295,6.97%
poyang_2021,120,灌木林,11232,8.859131436,0.01%
poyang_2021,121,常绿灌木林,442949,349.3717424,0.46%
poyang_2021,130,草地,16053,12.66164859,0.02%
poyang_2021,150,稀疏植被（fc<0.15）,144,0.113578608,0.00%
poyang_2021,181,沼泽,126110,99.46804357,0.13%
poyang_2021,182,沼泽地,2673305,2108.54348,2.75%
poyang_2021,183,水淹平地,1479137,1166.655012,1.52%
poyang_2021,190,不透水表面,5036430,3972.435482,5.18%
poyang_2021,200,裸地,584,0.460624355,0.00%
poyang_2021,210,水面,3311387,2611.82449,3.41%
poyang_2022,0,0,121550339,0,0.00%
poyang_2022,10,雨养耕地,7461814,5885.433669,7.68%
poyang_2022,11,草本植被覆盖,1495,1.1791668,0.00%
poyang_2022,20,灌溉耕地,21591152,17029.81245,22.22%
poyang_2022,51,开阔常绿阔叶林,22854,18.0258716,0.02%
poyang_2022,52,闭阔常绿阔叶林,46918329,37006.3785,48.28%
poyang_2022,61,开阔落叶阔叶林（0.15<fc<0.4）,846,0.667274323,0.00%
poyang_2022,62,闭阔落叶阔叶林（fc>0.4）,1356087,1069.600514,1.40%
poyang_2022,71,开阔常绿针叶林（0.15<fc<0.4）,93,0.073352851,0.00%
poyang_2022,72,闭阔常绿针叶林（fc>0.4）,6836621,5392.318733,7.04%
poyang_2022,120,灌木林,12070,9.520095836,0.01%
poyang_2022,121,常绿灌木林,450377,355.2305056,0.46%
poyang_2022,130,草地,18395,14.50887845,0.02%
poyang_2022,150,稀疏植被（fc<0.15）,153,0.120677271,0.00%
poyang_2022,181,沼泽,128697,101.5085148,0.13%
poyang_2022,182,沼泽地,2595033,2046.807196,2.67%
poyang_2022,183,水淹平地,1583379,1248.874882,1.63%
poyang_2022,190,不透水表面,4972809,3922.255033,5.12%
poyang_2022,200,裸地,572,0.451159471,0.00%
poyang_2022,210,水面,3228735,2546.633523,3.32%
